:START_ID(Customer),:END_ID(Order),:TYPE
XO649,1,PLACED
PC764,2,PLACED
CA470,3,PLACED
BI759,4,PLACED
CS287,5,PLACED
EM821,6,PLACED
RV310,7,PLACED
GC890,8,PLACED
PS740,9,PLACED
FJ947,10,PLACED
EI532,11,PLACED
FJ947,12,PLACED
XO649,13,PLACED
AU710,14,PLACED
MZ379,15,PLACED
ZO854,16,PLACED
XN875,17,PLACED
WQ849,18,PLACED
TB616,19,PLACED
II746,20,PLACED
EK253,21,PLACED
ZH741,22,PLACED
GL926,23,PLACED
GA851,24,PLACED
CA470,25,PLACED
XW046,26,PLACED
PE529,27,PLACED
RY548,28,PLACED
ZG109,29,PLACED
BW289,30,PLACED
BI759,31,PLACED
TE207,32,PLACED
OA831,33,PLACED
US056,34,PLACED
CS287,35,PLACED
EA575,36,PLACED
OA831,37,PLACED
EU335,38,PLACED
FJ947,39,PLACED
LU518,40,PLACED
AD089,41,PLACED
QL573,42,PLACED
XO649,43,PLACED
WY218,44,PLACED
US056,45,PLACED
VC531,46,PLACED
DH200,47,PLACED
WQ849,48,PLACED
LU518,49,PLACED
XO649,50,PLACED
KM929,51,PLACED
LB704,52,PLACED
CS287,53,PLACED
GC890,54,PLACED
QI779,55,PLACED
CZ861,56,PLACED
GC890,57,PLACED
AY876,58,PLACED
WY218,59,PLACED
AW347,60,PLACED
GC890,61,PLACED
EK253,62,PLACED
GR729,63,PLACED
QT258,64,PLACED
ME428,65,PLACED
IP471,66,PLACED
RY548,67,PLACED
GL926,68,PLACED
BF338,69,PLACED
WW556,70,PLACED
VC531,71,PLACED
HD242,72,PLACED
LB704,73,PLACED
QU287,74,PLACED
RV310,75,PLACED
ZF061,76,PLACED
BI759,77,PLACED
ZO854,78,PLACED
WB209,79,PLACED
XA254,80,PLACED
EI532,81,PLACED
QU287,82,PLACED
XN875,83,PLACED
RY572,84,PLACED
TE207,85,PLACED
MG296,86,PLACED
DX151,87,PLACED
TO444,88,PLACED
WQ849,89,PLACED
BI759,90,PLACED
LU518,91,PLACED
TE207,92,PLACED
ZF801,93,PLACED
DX151,94,PLACED
ZU351,95,PLACED
RV310,96,PLACED
UY980,97,PLACED
PL616,98,PLACED
XN875,99,PLACED
MA264,100,PLACED
MA264,101,PLACED
MJ814,102,PLACED
BP732,103,PLACED
HD242,104,PLACED
XA254,105,PLACED
IP471,106,PLACED
JT617,107,PLACED
XO649,108,PLACED
NQ176,109,PLACED
RG743,110,PLACED
CS287,111,PLACED
PS740,112,PLACED
ZO854,113,PLACED
BP732,114,PLACED
PS740,115,PLACED
BI759,116,PLACED
EK253,117,PLACED
DH200,118,PLACED
MA264,119,PLACED
YZ898,120,PLACED
ZH741,121,PLACED
XO649,122,PLACED
QL573,123,PLACED
PE529,124,PLACED
AU710,125,PLACED
VX147,126,PLACED
TO444,127,PLACED
QL573,128,PLACED
GR625,129,PLACED
ZU351,130,PLACED
CZ861,131,PLACED
VX147,132,PLACED
VQ233,133,PLACED
CC657,134,PLACED
PC764,135,PLACED
TW751,136,PLACED
DV182,137,PLACED
EB652,138,PLACED
CZ861,139,PLACED
XO649,140,PLACED
NU012,141,PLACED
MA264,142,PLACED
EA575,143,PLACED
EM821,144,PLACED
EU335,145,PLACED
FB488,146,PLACED
GL926,147,PLACED
PJ659,148,PLACED
VC531,149,PLACED
OA831,150,PLACED
AY876,151,PLACED
IK721,152,PLACED
GL926,153,PLACED
CS287,154,PLACED
XO649,155,PLACED
IP471,156,PLACED
EI532,157,PLACED
XN875,158,PLACED
EM821,159,PLACED
CZ861,160,PLACED
KM929,161,PLACED
GR625,162,PLACED
XO649,163,PLACED
ZV584,164,PLACED
ZF801,165,PLACED
MR129,166,PLACED
ME428,167,PLACED
KS630,168,PLACED
EK253,169,PLACED
NU012,170,PLACED
VC531,171,PLACED
CM245,172,PLACED
AY876,173,PLACED
XO649,174,PLACED
EU335,175,PLACED
GR729,176,PLACED
CC657,177,PLACED
QT258,178,PLACED
XA254,179,PLACED
DW607,180,PLACED
MR129,181,PLACED
QT258,182,PLACED
YZ898,183,PLACED
VZ702,184,PLACED
LU518,185,PLACED
VX147,186,PLACED
RV310,187,PLACED
RG743,188,PLACED
WW556,189,PLACED
CC657,190,PLACED
CA470,191,PLACED
GJ116,192,PLACED
VZ702,193,PLACED
OA831,194,PLACED
NQ176,195,PLACED
TO444,196,PLACED
YR398,197,PLACED
BI759,198,PLACED
PV664,199,PLACED
WB209,200,PLACED
MA264,201,PLACED
QU287,202,PLACED
GJ116,203,PLACED
QU287,204,PLACED
CS287,205,PLACED
GC890,206,PLACED
GJ116,207,PLACED
ZF801,208,PLACED
OA831,209,PLACED
WB209,210,PLACED
FJ947,211,PLACED
AW347,212,PLACED
GL926,213,PLACED
PV664,214,PLACED
GC846,215,PLACED
ZU351,216,PLACED
MZ379,217,PLACED
ZV584,218,PLACED
DX151,219,PLACED
ZF061,220,PLACED
PL616,221,PLACED
KM929,222,PLACED
BF338,223,PLACED
TB616,224,PLACED
CS287,225,PLACED
CA470,226,PLACED
WQ849,227,PLACED
WW556,228,PLACED
DW607,229,PLACED
BP732,230,PLACED
NQ176,231,PLACED
WN094,232,PLACED
QL573,233,PLACED
WY218,234,PLACED
CZ861,235,PLACED
OA831,236,PLACED
ZG109,237,PLACED
CC657,238,PLACED
CA470,239,PLACED
NQ176,240,PLACED
UY980,241,PLACED
UY980,242,PLACED
FC418,243,PLACED
ZG109,244,PLACED
BF338,245,PLACED
GR625,246,PLACED
MG296,247,PLACED
FB488,248,PLACED
UY980,249,PLACED
GC846,250,PLACED
II746,251,PLACED
MZ379,252,PLACED
VZ702,253,PLACED
EI532,254,PLACED
LU518,255,PLACED
XA075,256,PLACED
WY218,257,PLACED
MR129,258,PLACED
AU710,259,PLACED
DH200,260,PLACED
GA851,261,PLACED
WW556,262,PLACED
AU710,263,PLACED
ZO854,264,PLACED
EU335,265,PLACED
GC846,266,PLACED
RG743,267,PLACED
GC890,268,PLACED
VC531,269,PLACED
QL573,270,PLACED
EA575,271,PLACED
WQ849,272,PLACED
MJ814,273,PLACED
XW046,274,PLACED
OA831,275,PLACED
XA075,276,PLACED
FA862,277,PLACED
FA862,278,PLACED
KM929,279,PLACED
TW751,280,PLACED
BP732,281,PLACED
PS740,282,PLACED
DX151,283,PLACED
XO649,284,PLACED
AK874,285,PLACED
CS287,286,PLACED
KS630,287,PLACED
QU287,288,PLACED
ZO854,289,PLACED
FB488,290,PLACED
WN094,291,PLACED
VX147,292,PLACED
WB890,293,PLACED
RY548,294,PLACED
CS287,295,PLACED
FN522,296,PLACED
UY980,297,PLACED
EK253,298,PLACED
WY218,299,PLACED
ZV584,300,PLACED
JT617,301,PLACED
GC846,302,PLACED
PJ659,303,PLACED
WQ849,304,PLACED
FN522,305,PLACED
TW751,306,PLACED
GJ116,307,PLACED
NU012,308,PLACED
ZU351,309,PLACED
PC764,310,PLACED
CC657,311,PLACED
PE529,312,PLACED
DX151,313,PLACED
NQ176,314,PLACED
GL926,315,PLACED
NQ176,316,PLACED
CS287,317,PLACED
HD242,318,PLACED
MJ814,319,PLACED
CZ861,320,PLACED
ME428,321,PLACED
VZ702,322,PLACED
ZF801,323,PLACED
ME428,324,PLACED
XA254,325,PLACED
IP471,326,PLACED
GC890,327,PLACED
NU012,328,PLACED
EU335,329,PLACED
PC764,330,PLACED
IP471,331,PLACED
XN875,332,PLACED
EI532,333,PLACED
DW607,334,PLACED
FA862,335,PLACED
PL616,336,PLACED
EB652,337,PLACED
YR398,338,PLACED
WY218,339,PLACED
KS630,340,PLACED
XW046,341,PLACED
US056,342,PLACED
VZ702,343,PLACED
XA254,344,PLACED
AU710,345,PLACED
II746,346,PLACED
AU710,347,PLACED
CA470,348,PLACED
LU518,349,PLACED
DV182,350,PLACED
QL573,351,PLACED
FB488,352,PLACED
BN418,353,PLACED
AW347,354,PLACED
RG743,355,PLACED
PC764,356,PLACED
FB488,357,PLACED
VC531,358,PLACED
VQ233,359,PLACED
GC846,360,PLACED
MZ379,361,PLACED
FJ947,362,PLACED
PS740,363,PLACED
AD089,364,PLACED
QJ392,365,PLACED
ZV584,366,PLACED
WB209,367,PLACED
QI779,368,PLACED
ZF061,369,PLACED
NU012,370,PLACED
ME428,371,PLACED
IP471,372,PLACED
KS630,373,PLACED
FA862,374,PLACED
WQ849,375,PLACED
PV664,376,PLACED
NU711,377,PLACED
BF338,378,PLACED
EA575,379,PLACED
LU518,380,PLACED
BF338,381,PLACED
ZO854,382,PLACED
FN522,383,PLACED
NQ176,384,PLACED
DH200,385,PLACED
LB704,386,PLACED
EA575,387,PLACED
TE207,388,PLACED
VX147,389,PLACED
XW046,390,PLACED
IP471,391,PLACED
KS630,392,PLACED
FB488,393,PLACED
EA575,394,PLACED
AY876,395,PLACED
FA862,396,PLACED
MR129,397,PLACED
XA075,398,PLACED
CS287,399,PLACED
QT258,400,PLACED
AW347,401,PLACED
GR729,402,PLACED
GR729,403,PLACED
EM821,404,PLACED
ME428,405,PLACED
ZF801,406,PLACED
DV182,407,PLACED
XA075,408,PLACED
LB704,409,PLACED
JT617,410,PLACED
BI759,411,PLACED
GR625,412,PLACED
GR729,413,PLACED
PE529,414,PLACED
FB488,415,PLACED
ZV584,416,PLACED
RY548,417,PLACED
CA470,418,PLACED
ZV584,419,PLACED
VQ233,420,PLACED
GC890,421,PLACED
RY548,422,PLACED
RY572,423,PLACED
EM821,424,PLACED
US056,425,PLACED
UY980,426,PLACED
GL926,427,PLACED
ZF801,428,PLACED
US056,429,PLACED
DX151,430,PLACED
PV664,431,PLACED
EA575,432,PLACED
EB652,433,PLACED
MJ814,434,PLACED
WB890,435,PLACED
GR625,436,PLACED
NU711,437,PLACED
ZO854,438,PLACED
ZF061,439,PLACED
MJ814,440,PLACED
MJ814,441,PLACED
TB616,442,PLACED
TO444,443,PLACED
ZO854,444,PLACED
LB704,445,PLACED
NQ176,446,PLACED
CA470,447,PLACED
PS740,448,PLACED
BN418,449,PLACED
FJ947,450,PLACED
WW556,451,PLACED
TE207,452,PLACED
OA831,453,PLACED
US056,454,PLACED
GA851,455,PLACED
ZF801,456,PLACED
BP732,457,PLACED
WB209,458,PLACED
WB890,459,PLACED
FA862,460,PLACED
US056,461,PLACED
EB652,462,PLACED
CZ861,463,PLACED
MJ814,464,PLACED
TW751,465,PLACED
BI759,466,PLACED
ZF801,467,PLACED
MA264,468,PLACED
EK253,469,PLACED
XO649,470,PLACED
WN094,471,PLACED
GC846,472,PLACED
DV182,473,PLACED
CM245,474,PLACED
RY548,475,PLACED
WY218,476,PLACED
XW046,477,PLACED
AD089,478,PLACED
ZV584,479,PLACED
QT258,480,PLACED
NQ176,481,PLACED
ZV584,482,PLACED
AK874,483,PLACED
NQ176,484,PLACED
ZF801,485,PLACED
