:START_ID(Customer),:END_ID(Review),:TYPE
GC890,404,WROTE
RY572,655,WROTE
GJ116,1095,WROTE
WB890,166,WROTE
GJ116,230,WROTE
EI532,428,WROTE
BN418,1190,WROTE
WB890,1196,WROTE
LB704,460,WROTE
GL926,1230,WROTE
US056,273,WROTE
BN418,596,WROTE
FJ947,1224,WROTE
WQ849,1203,WROTE
DX151,1205,WROTE
JT617,663,WROTE
VC531,1007,WROTE
DH200,36,WROTE
EI532,537,WROTE
BI759,1209,WROTE
PJ659,16,WROTE
NU711,30,WROTE
BW289,794,WROTE
DW607,1146,WROTE
BN418,615,WROTE
ZO854,383,WROTE
ZO854,774,WROTE
BP732,234,WROTE
JT617,551,WROTE
WQ849,183,WROTE
EA575,956,WROTE
IK721,1163,WROTE
RV310,353,WROTE
GC846,1148,WROTE
DV182,117,WROTE
FB488,277,WROTE
PE529,643,WROTE
ZO854,180,WROTE
BN418,762,WROTE
EK253,1214,WROTE
MA264,220,WROTE
PL616,998,WROTE
BP732,1045,WROTE
LB704,939,WROTE
VQ233,1075,WROTE
NU711,1178,WROTE
RG743,1250,WROTE
IP471,737,WROTE
EU335,283,WROTE
AU710,1199,WROTE
RY572,1232,WROTE
ZF061,161,WROTE
DV182,499,WROTE
EA575,658,WROTE
GR729,827,WROTE
RY548,49,WROTE
XW046,134,WROTE
FJ947,471,WROTE
VH856,694,WROTE
WY218,763,WROTE
FJ947,299,WROTE
DH200,877,WROTE
EM821,186,WROTE
YZ898,564,WROTE
CA470,1044,WROTE
OA831,1059,WROTE
YR398,1235,WROTE
ZH741,398,WROTE
NU012,766,WROTE
WW556,996,WROTE
XW046,406,WROTE
ZO854,804,WROTE
BF338,1020,WROTE
ZF801,467,WROTE
RV310,484,WROTE
ZH741,1021,WROTE
PE529,88,WROTE
IP471,369,WROTE
ZV584,425,WROTE
LU518,1125,WROTE
DV182,697,WROTE
WN094,388,WROTE
CZ861,411,WROTE
YZ898,73,WROTE
RV310,75,WROTE
EM821,98,WROTE
PL616,1276,WROTE
EU335,1128,WROTE
PL616,843,WROTE
FA862,1015,WROTE
CC657,1072,WROTE
PE529,176,WROTE
HD242,466,WROTE
QU287,659,WROTE
NU012,725,WROTE
MZ379,281,WROTE
VZ702,305,WROTE
EI532,444,WROTE
KS630,834,WROTE
VZ702,963,WROTE
AU710,1244,WROTE
PV664,667,WROTE
FB488,1151,WROTE
PL616,1161,WROTE
FN522,287,WROTE
CZ861,379,WROTE
EU335,896,WROTE
RG743,1295,WROTE
FC418,171,WROTE
WB209,365,WROTE
ZF061,422,WROTE
PS740,546,WROTE
AY876,1001,WROTE
XW046,601,WROTE
XW046,851,WROTE
XO649,961,WROTE
UY980,371,WROTE
KM929,608,WROTE
WY218,1132,WROTE
QL573,498,WROTE
ZF061,520,WROTE
YR398,1025,WROTE
ZG109,1279,WROTE
OA831,1220,WROTE
WB890,1291,WROTE
XA254,1202,WROTE
US056,1283,WROTE
VC531,1090,WROTE
MZ379,837,WROTE
GA851,880,WROTE
GR625,424,WROTE
NU012,1247,WROTE
BF338,1258,WROTE
DV182,270,WROTE
VC531,842,WROTE
PS740,586,WROTE
PL616,20,WROTE
IK721,525,WROTE
NQ176,603,WROTE
XW046,1237,WROTE
PE529,710,WROTE
KM929,865,WROTE
XA075,345,WROTE
RG743,420,WROTE
GC846,778,WROTE
XO649,1137,WROTE
WQ849,692,WROTE
XW046,960,WROTE
TB616,212,WROTE
FB488,500,WROTE
DV182,949,WROTE
YR398,972,WROTE
FN522,1094,WROTE
WB890,765,WROTE
PE529,266,WROTE
BP732,577,WROTE
WB890,396,WROTE
RV310,569,WROTE
GJ116,1144,WROTE
PL616,259,WROTE
PS740,360,WROTE
KS630,409,WROTE
FA862,19,WROTE
YR398,168,WROTE
QU287,869,WROTE
VQ233,926,WROTE
TB616,160,WROTE
EB652,364,WROTE
VZ702,87,WROTE
WW556,944,WROTE
KS630,952,WROTE
AK874,113,WROTE
WB209,152,WROTE
RG743,375,WROTE
GC890,1023,WROTE
MJ814,7,WROTE
EI532,1067,WROTE
