:START_ID(Employee),:END_ID(Order),:TYPE
8,1,PROCESSED
7,2,PROCESSED
3,3,PROCESSED
18,4,PROCESSED
5,5,PROCESSED
6,6,PROCESSED
14,7,PROCESSED
4,8,PROCESSED
19,9,PROCESSED
10,10,PROCESSED
11,11,PROCESSED
18,12,PROCESSED
8,13,PROCESSED
5,14,PROCESSED
4,15,PROCESSED
3,16,PROCESSED
9,17,PROCESSED
16,18,PROCESSED
20,19,PROCESSED
13,20,PROCESSED
17,21,PROCESSED
15,22,PROCESSED
14,23,PROCESSED
1,24,PROCESSED
15,25,PROCESSED
11,26,PROCESSED
5,27,PROCESSED
12,28,PROCESSED
11,29,PROCESSED
18,30,PROCESSED
17,31,PROCESSED
5,32,PROCESSED
8,33,PROCESSED
11,34,PROCESSED
13,35,PROCESSED
12,36,PROCESSED
17,37,PROCESSED
6,38,PROCESSED
17,39,PROCESSED
19,40,PROCESSED
9,41,PROCESSED
4,42,PROCESSED
15,43,PROCESSED
13,44,PROCESSED
2,45,PROCESSED
13,46,PROCESSED
7,47,PROCESSED
12,48,PROCESSED
11,49,PROCESSED
6,50,PROCESSED
12,51,PROCESSED
1,52,PROCESSED
12,53,PROCESSED
6,54,PROCESSED
13,55,PROCESSED
18,56,PROCESSED
1,57,PROCESSED
19,58,PROCESSED
18,59,PROCESSED
10,60,PROCESSED
19,61,PROCESSED
7,62,PROCESSED
5,63,PROCESSED
18,64,PROCESSED
9,65,PROCESSED
3,66,PROCESSED
14,67,PROCESSED
3,68,PROCESSED
15,69,PROCESSED
15,70,PROCESSED
4,71,PROCESSED
3,72,PROCESSED
16,73,PROCESSED
9,74,PROCESSED
16,75,PROCESSED
12,76,PROCESSED
16,77,PROCESSED
4,78,PROCESSED
2,79,PROCESSED
7,80,PROCESSED
13,81,PROCESSED
6,82,PROCESSED
16,83,PROCESSED
17,84,PROCESSED
12,85,PROCESSED
6,86,PROCESSED
18,87,PROCESSED
11,88,PROCESSED
5,89,PROCESSED
18,90,PROCESSED
20,91,PROCESSED
10,92,PROCESSED
7,93,PROCESSED
4,94,PROCESSED
7,95,PROCESSED
20,96,PROCESSED
19,97,PROCESSED
13,98,PROCESSED
19,99,PROCESSED
12,100,PROCESSED
14,101,PROCESSED
10,102,PROCESSED
8,103,PROCESSED
9,104,PROCESSED
10,105,PROCESSED
16,106,PROCESSED
20,107,PROCESSED
10,108,PROCESSED
18,109,PROCESSED
2,110,PROCESSED
20,111,PROCESSED
9,112,PROCESSED
9,113,PROCESSED
2,114,PROCESSED
12,115,PROCESSED
10,116,PROCESSED
18,117,PROCESSED
6,118,PROCESSED
7,119,PROCESSED
7,120,PROCESSED
3,121,PROCESSED
8,122,PROCESSED
16,123,PROCESSED
19,124,PROCESSED
4,125,PROCESSED
20,126,PROCESSED
17,127,PROCESSED
13,128,PROCESSED
2,129,PROCESSED
4,130,PROCESSED
6,131,PROCESSED
11,132,PROCESSED
18,133,PROCESSED
9,134,PROCESSED
20,135,PROCESSED
2,136,PROCESSED
12,137,PROCESSED
18,138,PROCESSED
16,139,PROCESSED
10,140,PROCESSED
13,141,PROCESSED
6,142,PROCESSED
6,143,PROCESSED
17,144,PROCESSED
12,145,PROCESSED
14,146,PROCESSED
17,147,PROCESSED
10,148,PROCESSED
13,149,PROCESSED
8,150,PROCESSED
5,151,PROCESSED
9,152,PROCESSED
20,153,PROCESSED
16,154,PROCESSED
18,155,PROCESSED
8,156,PROCESSED
3,157,PROCESSED
8,158,PROCESSED
19,159,PROCESSED
17,160,PROCESSED
4,161,PROCESSED
5,162,PROCESSED
1,163,PROCESSED
6,164,PROCESSED
16,165,PROCESSED
13,166,PROCESSED
16,167,PROCESSED
14,168,PROCESSED
17,169,PROCESSED
15,170,PROCESSED
4,171,PROCESSED
8,172,PROCESSED
20,173,PROCESSED
5,174,PROCESSED
3,175,PROCESSED
19,176,PROCESSED
10,177,PROCESSED
7,178,PROCESSED
14,179,PROCESSED
5,180,PROCESSED
13,181,PROCESSED
6,182,PROCESSED
2,183,PROCESSED
9,184,PROCESSED
9,185,PROCESSED
