:START_ID(Order),:END_ID(Product),:TYPE,UnitPrice,Quantity,Discount
1,18,CONTAINS,5081.24,11,0.2
1,59,CONTAINS,5605.53,10,0.05
1,74,CONTAINS,2353.42,19,0.1
1,88,CONTAINS,4431.24,20,0.05
2,23,CONTAINS,8334.16,14,0.15
2,51,CONTAINS,886.12,18,0.05
3,14,CONTAINS,8626.45,18,0.05
3,28,CONTAINS,241.6,13,0.15
3,50,CONTAINS,10312.91,1,0.0
3,63,CONTAINS,9489.11,11,0.05
4,28,CONTAINS,222.89,18,0.05
4,31,CONTAINS,1381.31,16,0.15
4,71,CONTAINS,6569.94,14,0.05
5,8,CONTAINS,8819.37,17,0.1
5,56,CONTAINS,264.25,18,0.1
5,82,CONTAINS,6819.74,2,0.05
5,95,CONTAINS,7987.13,7,0.2
6,63,CONTAINS,8957.22,11,0.2
7,35,CONTAINS,3233.01,4,0.05
8,41,CONTAINS,9422.18,11,0.0
8,47,CONTAINS,2429.45,6,0.15
8,53,CONTAINS,3078.19,12,0.0
9,91,CONTAINS,3046.2,6,0.0
10,15,CONTAINS,5970.15,19,0.1
10,45,CONTAINS,7453.29,9,0.15
10,53,CONTAINS,3042.99,11,0.05
10,89,CONTAINS,9145.09,12,0.1
10,95,CONTAINS,8194.78,9,0.0
11,79,CONTAINS,10242.37,18,0.2
12,61,CONTAINS,772.05,14,0.15
12,69,CONTAINS,3988.62,17,0.2
13,6,CONTAINS,5444.16,5,0.15
14,3,CONTAINS,8474.81,11,0.1
14,71,CONTAINS,6079.56,19,0.15
14,95,CONTAINS,8624.61,18,0.0
15,7,CONTAINS,1068.11,3,0.15
15,47,CONTAINS,2298.3,14,0.0
15,50,CONTAINS,9692.63,8,0.0
16,6,CONTAINS,5278.04,20,0.2
16,23,CONTAINS,8840.92,17,0.0
16,33,CONTAINS,6396.19,8,0.0
16,67,CONTAINS,1516.17,19,0.1
16,77,CONTAINS,6698.93,12,0.1
17,7,CONTAINS,1078.04,5,0.05
17,19,CONTAINS,7278.88,6,0.15
17,93,CONTAINS,5803.92,11,0.2
18,6,CONTAINS,5725.47,10,0.05
18,23,CONTAINS,8220.84,15,0.05
18,73,CONTAINS,257.63,5,0.1
18,75,CONTAINS,9217.09,13,0.0
18,95,CONTAINS,8680.28,13,0.05
19,21,CONTAINS,2478.74,17,0.2
19,76,CONTAINS,7645.2,7,0.1
19,78,CONTAINS,5093.8,12,0.2
20,14,CONTAINS,8658.38,3,0.2
20,27,CONTAINS,7821.51,10,0.0
20,42,CONTAINS,8083.26,2,0.2
