:START_ID(Order),:END_ID(Shipper),:TYPE
1,4,SHIPPED_VIA
2,9,SHIPPED_VIA
3,5,SHIPPED_VIA
4,6,SHIPPED_VIA
5,2,SHIPPED_VIA
6,1,SHIPPED_VIA
7,9,SHIPPED_VIA
8,7,SHIPPED_VIA
9,5,SHIPPED_VIA
10,1,SHIPPED_VIA
11,6,SHIPPED_VIA
12,6,SHIPPED_VIA
13,6,SHIPPED_VIA
14,5,SHIPPED_VIA
15,4,SHIPPED_VIA
16,5,SHIPPED_VIA
17,1,SHIPPED_VIA
18,4,SHIPPED_VIA
19,1,SHIPPED_VIA
20,4,SHIPPED_VIA
21,7,SHIPPED_VIA
22,1,SHIPPED_VIA
23,3,SHIPPED_VIA
24,6,SHIPPED_VIA
25,2,SHIPPED_VIA
26,2,SHIPPED_VIA
27,7,SHIPPED_VIA
28,4,SHIPPED_VIA
29,3,SHIPPED_VIA
30,3,SHIPPED_VIA
31,2,SHIPPED_VIA
32,4,SHIPPED_VIA
33,1,SHIPPED_VIA
34,2,SHIPPED_VIA
35,5,SHIPPED_VIA
36,4,SHIPPED_VIA
37,8,SHIPPED_VIA
38,3,SHIPPED_VIA
39,7,SHIPPED_VIA
40,5,SHIPPED_VIA
41,4,SHIPPED_VIA
42,3,SHIPPED_VIA
43,5,SHIPPED_VIA
44,8,SHIPPED_VIA
45,1,SHIPPED_VIA
46,3,SHIPPED_VIA
47,7,SHIPPED_VIA
48,4,SHIPPED_VIA
49,9,SHIPPED_VIA
50,8,SHIPPED_VIA
51,6,SHIPPED_VIA
52,3,SHIPPED_VIA
53,10,SHIPPED_VIA
54,8,SHIPPED_VIA
55,1,SHIPPED_VIA
56,6,SHIPPED_VIA
57,10,SHIPPED_VIA
58,4,SHIPPED_VIA
59,10,SHIPPED_VIA
60,7,SHIPPED_VIA
61,10,SHIPPED_VIA
62,7,SHIPPED_VIA
63,4,SHIPPED_VIA
64,7,SHIPPED_VIA
65,1,SHIPPED_VIA
66,9,SHIPPED_VIA
67,9,SHIPPED_VIA
68,3,SHIPPED_VIA
69,9,SHIPPED_VIA
70,8,SHIPPED_VIA
71,1,SHIPPED_VIA
72,3,SHIPPED_VIA
73,5,SHIPPED_VIA
74,1,SHIPPED_VIA
75,10,SHIPPED_VIA
76,5,SHIPPED_VIA
77,3,SHIPPED_VIA
78,6,SHIPPED_VIA
79,10,SHIPPED_VIA
80,8,SHIPPED_VIA
81,6,SHIPPED_VIA
82,8,SHIPPED_VIA
83,4,SHIPPED_VIA
84,8,SHIPPED_VIA
85,6,SHIPPED_VIA
86,8,SHIPPED_VIA
87,7,SHIPPED_VIA
88,1,SHIPPED_VIA
89,5,SHIPPED_VIA
90,6,SHIPPED_VIA
91,7,SHIPPED_VIA
92,2,SHIPPED_VIA
93,9,SHIPPED_VIA
94,7,SHIPPED_VIA
95,4,SHIPPED_VIA
96,1,SHIPPED_VIA
97,3,SHIPPED_VIA
98,8,SHIPPED_VIA
99,7,SHIPPED_VIA
100,4,SHIPPED_VIA
101,9,SHIPPED_VIA
102,1,SHIPPED_VIA
103,6,SHIPPED_VIA
104,6,SHIPPED_VIA
105,1,SHIPPED_VIA
106,1,SHIPPED_VIA
107,4,SHIPPED_VIA
108,7,SHIPPED_VIA
109,1,SHIPPED_VIA
110,10,SHIPPED_VIA
111,4,SHIPPED_VIA
112,5,SHIPPED_VIA
113,5,SHIPPED_VIA
114,1,SHIPPED_VIA
115,3,SHIPPED_VIA
116,7,SHIPPED_VIA
117,3,SHIPPED_VIA
118,5,SHIPPED_VIA
119,5,SHIPPED_VIA
120,10,SHIPPED_VIA
121,6,SHIPPED_VIA
122,2,SHIPPED_VIA
123,7,SHIPPED_VIA
124,1,SHIPPED_VIA
125,3,SHIPPED_VIA
126,1,SHIPPED_VIA
127,9,SHIPPED_VIA
128,5,SHIPPED_VIA
129,2,SHIPPED_VIA
130,2,SHIPPED_VIA
131,2,SHIPPED_VIA
132,2,SHIPPED_VIA
133,10,SHIPPED_VIA
134,7,SHIPPED_VIA
135,4,SHIPPED_VIA
136,6,SHIPPED_VIA
137,7,SHIPPED_VIA
138,3,SHIPPED_VIA
139,7,SHIPPED_VIA
140,1,SHIPPED_VIA
141,9,SHIPPED_VIA
142,3,SHIPPED_VIA
143,10,SHIPPED_VIA
144,8,SHIPPED_VIA
145,5,SHIPPED_VIA
146,6,SHIPPED_VIA
147,4,SHIPPED_VIA
148,5,SHIPPED_VIA
149,4,SHIPPED_VIA
150,3,SHIPPED_VIA
151,4,SHIPPED_VIA
152,9,SHIPPED_VIA
153,7,SHIPPED_VIA
154,9,SHIPPED_VIA
155,6,SHIPPED_VIA
156,3,SHIPPED_VIA
157,7,SHIPPED_VIA
158,8,SHIPPED_VIA
159,6,SHIPPED_VIA
160,8,SHIPPED_VIA
161,8,SHIPPED_VIA
162,8,SHIPPED_VIA
163,10,SHIPPED_VIA
164,6,SHIPPED_VIA
165,10,SHIPPED_VIA
166,1,SHIPPED_VIA
167,4,SHIPPED_VIA
168,5,SHIPPED_VIA
169,6,SHIPPED_VIA
170,4,SHIPPED_VIA
171,8,SHIPPED_VIA
172,3,SHIPPED_VIA
173,3,SHIPPED_VIA
174,1,SHIPPED_VIA
175,7,SHIPPED_VIA
176,1,SHIPPED_VIA
177,8,SHIPPED_VIA
178,9,SHIPPED_VIA
179,9,SHIPPED_VIA
180,2,SHIPPED_VIA
181,1,SHIPPED_VIA
182,2,SHIPPED_VIA
183,2,SHIPPED_VIA
184,3,SHIPPED_VIA
185,7,SHIPPED_VIA
186,3,SHIPPED_VIA
187,4,SHIPPED_VIA
188,10,SHIPPED_VIA
189,10,SHIPPED_VIA
190,6,SHIPPED_VIA
191,10,SHIPPED_VIA
192,4,SHIPPED_VIA
193,2,SHIPPED_VIA
194,6,SHIPPED_VIA
195,8,SHIPPED_VIA
196,4,SHIPPED_VIA
197,5,SHIPPED_VIA
198,9,SHIPPED_VIA
199,6,SHIPPED_VIA
200,1,SHIPPED_VIA
201,3,SHIPPED_VIA
202,10,SHIPPED_VIA
203,8,SHIPPED_VIA
204,4,SHIPPED_VIA
205,6,SHIPPED_VIA
206,7,SHIPPED_VIA
207,7,SHIPPED_VIA
