:START_ID(Product),:END_ID(Category),:TYPE
1,19,BELONGS_TO
2,3,BELONGS_TO
3,11,BELONGS_TO
4,11,BELONGS_TO
5,19,BELONGS_TO
6,17,BELONGS_TO
7,7,BELONGS_TO
8,14,BELONGS_TO
9,3,BELONGS_TO
10,6,BELONGS_TO
11,4,BELONGS_TO
12,17,BELONGS_TO
13,19,BELONGS_TO
14,16,BELONGS_TO
15,1,BELONGS_TO
16,19,BELONGS_TO
17,4,BELONGS_TO
18,4,BELONGS_TO
19,14,BELONGS_TO
20,16,BELONGS_TO
21,18,BELONGS_TO
22,11,BELONGS_TO
23,16,BELONGS_TO
24,11,BELONGS_TO
25,6,BELONGS_TO
26,7,BELONGS_TO
27,18,BELONGS_TO
28,7,BELONGS_TO
29,17,BELONGS_TO
30,14,BELONGS_TO
31,18,BELONGS_TO
32,15,BELONGS_TO
33,18,BELONGS_TO
34,14,BELONGS_TO
35,20,BELONGS_TO
36,18,BELONGS_TO
37,15,BELONGS_TO
38,8,BELONGS_TO
39,1,BELONGS_TO
40,15,BELONGS_TO
41,17,BELONGS_TO
42,16,BELONGS_TO
43,11,BELONGS_TO
44,10,BELONGS_TO
45,15,BELONGS_TO
46,14,BELONGS_TO
47,2,BELONGS_TO
48,4,BELONGS_TO
49,18,BELONGS_TO
50,17,BELONGS_TO
51,14,BELONGS_TO
52,3,BELONGS_TO
53,11,BELONGS_TO
54,14,BELONGS_TO
55,13,BELONGS_TO
56,12,BELONGS_TO
57,16,BELONGS_TO
58,7,BELONGS_TO
59,5,BELONGS_TO
60,6,BELONGS_TO
61,9,BELONGS_TO
62,9,BELONGS_TO
63,16,BELONGS_TO
64,15,BELONGS_TO
65,10,BELONGS_TO
66,15,BELONGS_TO
67,19,BELONGS_TO
68,3,BELONGS_TO
69,9,BELONGS_TO
70,16,BELONGS_TO
71,8,BELONGS_TO
72,9,BELONGS_TO
73,7,BELONGS_TO
74,6,BELONGS_TO
75,10,BELONGS_TO
76,6,BELONGS_TO
77,9,BELONGS_TO
78,1,BELONGS_TO
79,13,BELONGS_TO
80,1,BELONGS_TO
81,4,BELONGS_TO
82,14,BELONGS_TO
83,13,BELONGS_TO
84,7,BELONGS_TO
85,15,BELONGS_TO
86,5,BELONGS_TO
87,15,BELONGS_TO
88,12,BELONGS_TO
89,10,BELONGS_TO
90,6,BELONGS_TO
91,1,BELONGS_TO
92,5,BELONGS_TO
93,18,BELONGS_TO
94,12,BELONGS_TO
95,1,BELONGS_TO
96,10,BELONGS_TO
97,16,BELONGS_TO
98,11,BELONGS_TO
99,1,BELONGS_TO
100,3,BELONGS_TO
101,5,BELONGS_TO
