:START_ID(Product),:END_ID(Supplier),:TYPE
1,4,SUPPLIED_BY
2,9,SUPPLIED_BY
3,2,SUPPLIED_BY
4,12,SUPPLIED_BY
5,9,SUPPLIED_BY
6,8,SUPPLIED_BY
7,11,SUPPLIED_BY
8,13,SUPPLIED_BY
9,4,SUPPLIED_BY
10,9,SUPPLIED_BY
11,1,SUPPLIED_BY
12,10,SUPPLIED_BY
13,6,SUPPLIED_BY
14,10,SUPPLIED_BY
15,5,SUPPLIED_BY
16,1,SUPPLIED_BY
17,3,SUPPLIED_BY
18,9,SUPPLIED_BY
19,8,SUPPLIED_BY
20,5,SUPPLIED_BY
21,2,SUPPLIED_BY
22,9,SUPPLIED_BY
23,9,SUPPLIED_BY
24,12,SUPPLIED_BY
25,6,SUPPLIED_BY
26,4,SUPPLIED_BY
27,1,SUPPLIED_BY
28,7,SUPPLIED_BY
29,11,SUPPLIED_BY
30,1,SUPPLIED_BY
31,6,SUPPLIED_BY
32,4,SUPPLIED_BY
33,7,SUPPLIED_BY
34,13,SUPPLIED_BY
35,4,SUPPLIED_BY
36,8,SUPPLIED_BY
37,7,SUPPLIED_BY
38,12,SUPPLIED_BY
39,12,SUPPLIED_BY
40,1,SUPPLIED_BY
41,14,SUPPLIED_BY
42,5,SUPPLIED_BY
43,2,SUPPLIED_BY
44,1,SUPPLIED_BY
45,11,SUPPLIED_BY
46,1,SUPPLIED_BY
47,3,SUPPLIED_BY
48,3,SUPPLIED_BY
49,13,SUPPLIED_BY
50,3,SUPPLIED_BY
51,3,SUPPLIED_BY
52,1,SUPPLIED_BY
53,2,SUPPLIED_BY
54,11,SUPPLIED_BY
55,7,SUPPLIED_BY
56,2,SUPPLIED_BY
57,11,SUPPLIED_BY
58,13,SUPPLIED_BY
59,12,SUPPLIED_BY
60,2,SUPPLIED_BY
61,15,SUPPLIED_BY
62,2,SUPPLIED_BY
63,15,SUPPLIED_BY
64,4,SUPPLIED_BY
65,12,SUPPLIED_BY
66,13,SUPPLIED_BY
67,13,SUPPLIED_BY
68,11,SUPPLIED_BY
69,5,SUPPLIED_BY
70,11,SUPPLIED_BY
71,14,SUPPLIED_BY
72,12,SUPPLIED_BY
73,7,SUPPLIED_BY
74,13,SUPPLIED_BY
75,4,SUPPLIED_BY
76,13,SUPPLIED_BY
77,9,SUPPLIED_BY
78,6,SUPPLIED_BY
79,10,SUPPLIED_BY
80,15,SUPPLIED_BY
81,4,SUPPLIED_BY
82,15,SUPPLIED_BY
83,12,SUPPLIED_BY
84,3,SUPPLIED_BY
85,11,SUPPLIED_BY
86,11,SUPPLIED_BY
87,9,SUPPLIED_BY
88,10,SUPPLIED_BY
89,11,SUPPLIED_BY
90,6,SUPPLIED_BY
91,4,SUPPLIED_BY
92,12,SUPPLIED_BY
93,14,SUPPLIED_BY
94,10,SUPPLIED_BY
95,10,SUPPLIED_BY
96,11,SUPPLIED_BY
97,10,SUPPLIED_BY
98,10,SUPPLIED_BY
99,6,SUPPLIED_BY
100,15,SUPPLIED_BY
101,6,SUPPLIED_BY
