:START_ID(Review),:END_ID(Product),:TYPE
404,2,ABOUT
655,11,ABOUT
1095,10,ABOUT
166,27,ABOUT
230,80,ABOUT
428,23,ABOUT
1190,1,ABOUT
1196,91,ABOUT
460,74,ABOUT
1230,49,ABOUT
273,54,ABOUT
596,26,ABOUT
1224,54,ABOUT
1203,85,ABOUT
1205,14,ABOUT
663,99,ABOUT
1007,17,ABOUT
36,50,ABOUT
537,53,ABOUT
1209,29,ABOUT
16,78,ABOUT
30,88,ABOUT
794,39,ABOUT
1146,2,ABOUT
615,72,ABOUT
383,25,ABOUT
774,41,ABOUT
234,13,ABOUT
551,81,ABOUT
183,48,ABOUT
956,37,ABOUT
1163,51,ABOUT
353,68,ABOUT
1148,78,ABOUT
117,48,ABOUT
277,67,ABOUT
643,26,ABOUT
180,71,ABOUT
762,32,ABOUT
1214,95,ABOUT
220,19,ABOUT
998,88,ABOUT
1045,77,ABOUT
939,22,ABOUT
1075,33,ABOUT
1178,33,ABOUT
1250,83,ABOUT
737,44,ABOUT
283,30,ABOUT
1199,25,ABOUT
1232,60,ABOUT
161,8,ABOUT
499,27,ABOUT
658,45,ABOUT
827,74,ABOUT
49,22,ABOUT
134,62,ABOUT
471,77,ABOUT
694,89,ABOUT
763,100,ABOUT
299,24,ABOUT
877,66,ABOUT
186,96,ABOUT
564,13,ABOUT
1044,4,ABOUT
1059,87,ABOUT
1235,99,ABOUT
398,93,ABOUT
766,79,ABOUT
996,60,ABOUT
406,11,ABOUT
804,44,ABOUT
1020,92,ABOUT
467,1,ABOUT
484,9,ABOUT
1021,64,ABOUT
88,60,ABOUT
369,71,ABOUT
425,20,ABOUT
1125,64,ABOUT
697,60,ABOUT
388,68,ABOUT
411,84,ABOUT
73,90,ABOUT
75,53,ABOUT
98,20,ABOUT
1276,71,ABOUT
1128,95,ABOUT
843,32,ABOUT
1015,58,ABOUT
1072,34,ABOUT
176,83,ABOUT
466,13,ABOUT
659,15,ABOUT
725,24,ABOUT
281,86,ABOUT
305,70,ABOUT
444,20,ABOUT
834,73,ABOUT
963,60,ABOUT
1244,95,ABOUT
667,60,ABOUT
1151,63,ABOUT
1161,94,ABOUT
287,49,ABOUT
379,81,ABOUT
896,12,ABOUT
1295,71,ABOUT
171,44,ABOUT
365,38,ABOUT
422,101,ABOUT
546,36,ABOUT
1001,37,ABOUT
601,97,ABOUT
851,95,ABOUT
961,93,ABOUT
371,41,ABOUT
608,82,ABOUT
1132,48,ABOUT
498,28,ABOUT
520,99,ABOUT
1025,88,ABOUT
1279,43,ABOUT
1220,37,ABOUT
1291,72,ABOUT
1202,66,ABOUT
1283,1,ABOUT
1090,29,ABOUT
837,86,ABOUT
880,94,ABOUT
424,100,ABOUT
1247,58,ABOUT
1258,40,ABOUT
270,85,ABOUT
842,65,ABOUT
586,80,ABOUT
20,72,ABOUT
525,79,ABOUT
603,91,ABOUT
1237,77,ABOUT
710,86,ABOUT
865,68,ABOUT
345,52,ABOUT
420,11,ABOUT
778,42,ABOUT
1137,40,ABOUT
692,20,ABOUT
960,5,ABOUT
212,61,ABOUT
500,77,ABOUT
949,66,ABOUT
972,50,ABOUT
1094,39,ABOUT
765,7,ABOUT
266,49,ABOUT
577,92,ABOUT
396,80,ABOUT
569,60,ABOUT
1144,44,ABOUT
259,96,ABOUT
360,64,ABOUT
409,76,ABOUT
19,28,ABOUT
168,68,ABOUT
869,36,ABOUT
926,93,ABOUT
160,98,ABOUT
364,5,ABOUT
87,91,ABOUT
944,19,ABOUT
952,5,ABOUT
113,55,ABOUT
152,2,ABOUT
375,69,ABOUT
1023,15,ABOUT
7,36,ABOUT
1067,96,ABOUT
1150,82,ABOUT
1301,91,ABOUT
883,32,ABOUT
1047,64,ABOUT
1238,97,ABOUT
235,56,ABOUT
268,76,ABOUT
721,27,ABOUT
192,101,ABOUT
274,53,ABOUT
463,44,ABOUT
730,64,ABOUT
1162,41,ABOUT
1227,45,ABOUT
1212,73,ABOUT
9,96,ABOUT
121,69,ABOUT
735,66,ABOUT
