supplierId:ID(Supplier),CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax,HomePage,labels:LABEL
1,小米智能家居,费荣,CEO,甘肃省宜都县梁平王路s座 912763,广州县,天津市,531302,中国,18660438497,15173469709,http://www.小米智能家居.com,Supplier
2,华为智能生活,熊冬梅,CEO,上海市东莞县徐汇宜都街c座 987881,玲市,海南省,518394,中国,13258850018,15868306010,http://www.华为智能生活.com,Supplier
3,苹果智能家庭,黄晨,CEO,重庆市六盘水市友好南昌路V座 679032,宜都县,河北省,445225,中国,18566235201,15542096620,http://www.苹果智能家庭.com,Supplier
4,亚马逊智能科技,周帆,销售代表,广西壮族自治区长春县璧山邓街Z座 266960,俊县,福建省,693883,中国,15779654467,18701270503,http://www.亚马逊智能科技.com,Supplier
5,谷歌智能设备,仝敏,销售经理,广东省冬梅县丰都郑州路u座 224339,合肥市,青海省,728722,中国,15286972728,15392171518,http://www.谷歌智能设备.com,Supplier
6,三星智能家电,李荣,销售代表,西藏自治区桂芝县海陵西宁街j座 777115,桂花市,江西省,735701,中国,13743027535,13421535032,http://www.三星智能家电.com,Supplier
7,飞利浦智能照明,徐秀珍,市场总监,江西省惠州市沈河哈尔滨街s座 394133,北京县,北京市,297930,中国,13207860989,15573103535,http://www.飞利浦智能照明.com,Supplier
8,海尔智慧家庭,张平,销售代表,安徽省凤英市龙潭潜江街H座 500610,芳县,安徽省,763041,中国,15266844099,13625117222,http://www.海尔智慧家庭.com,Supplier
9,美的智能科技,杨丹丹,销售代表,海南省峰县徐汇戴街u座 750826,宇县,海南省,653647,中国,18190027043,18566391378,http://www.美的智能科技.com,Supplier
10,格力智能电器,蒲欢,市场总监,浙江省海门县西夏孟路G座 447954,利市,内蒙古自治区,277003,中国,13039590148,18040196284,http://www.格力智能电器.com,Supplier
11,博世智能系统,李红,CEO,广东省杭州县西夏宜都街p座 689520,杨县,宁夏回族自治区,449373,中国,13055766650,18088167462,http://www.博世智能系统.com,Supplier
12,西门子智能家居,瞿海燕,市场总监,澳门特别行政区沈阳县南长余路A座 349868,贵阳市,贵州省,133245,中国,15155576909,15544403237,http://www.西门子智能家居.com,Supplier
13,松下智能电器,李玉,市场总监,山西省艳县普陀安路W座 693090,辉市,吉林省,493923,中国,14556183756,18964338753,http://www.松下智能电器.com,Supplier
14,索尼智能科技,李凤兰,销售代表,香港特别行政区巢湖县长寿通辽街e座 959328,敏县,西藏自治区,282345,中国,13038280497,15668907324,http://www.索尼智能科技.com,Supplier
15,LG智能家电,王琴,销售代表,云南省大冶市闵行齐齐哈尔路o座 201997,帅市,台湾省,956654,中国,18668777603,13503112846,http://www.lg智能家电.com,Supplier
